municipio,hhi,hhi_norm
TUBARAO,0.06162743454952466,0.0
TUNAPOLIS,0.15620715794906534,0.10599268238679047
TURVO,0.14145606356608603,0.08946156973817504
UNIAO DO OESTE,0.3842375334415157,0.36153954058609483
URUBICI,0.14299151011113587,0.09118229900362088
URUPEMA,0.3779585798816567,0.3545029041224829
URUSSANGA,0.16941926891695924,0.12079910210492859
VARGEAO,0.5237342551400183,0.5178693667426777
VARGEM,0.695789950203712,0.7106870657613781
VARGEM BONITA,0.8011995504326663,0.8288164689357626
VIDAL RAMOS,0.3174392635672096,0.28668070670195156
VIDEIRA,0.2968950732673105,0.2636574437965162
VITOR MEIRELES,0.6549853561494963,0.6649585710898509
WITMARSUM,0.4184598460987645,0.3998914683105825
XANXERE,0.11397762471561576,0.058667300767233185
XAVANTINA,0.28707085463842225,0.25264773423719217
XAXIM,0.35116980435674,0.3244815203238779
ZORTEA,0.29333333333333333,0.2596659078097634
