municipio,def_mean,ppt_std,ws_std,dtr_mean
Atalanta,0.08172712943541881,0.10510001690456112,0.34681959771554716,0.5145085163143851
Mafra,0.2102033151516229,0.13404793934363549,0.28399552479562495,0.7885036688648427
Timbó Grande,0.10411592334487565,0.10803871425553457,0.23166883414890369,0.7868356248717421
Aurora,0.08085007798311263,0.14086889960471422,0.3124207279177013,0.4944387441001432
Siderópolis,0.12663686228341883,0.09726589100472655,0.5691732034483137,0.5418779865732464
Laguna,0.41861297840184586,0.38339732319888303,0.9510995857170443,0.07463250780347123
Antônio Carlos,0.05921052003486564,0.2165018257980571,0.5629788459131365,0.19564634011586576
Serra Alta,0.20972182575635342,0.6732081837613159,0.283460071051413,0.8676380053355224
Lajeado Grande,0.2405556658764929,0.7816172287364865,0.1839661017404667,0.8316232300430947
Arabutã,0.3684133229080047,0.6804540850767967,0.16989003837984376,0.7167189469672537
Apiúna,0.10544546798937227,0.1981361415596451,0.2917109802360823,0.4490994332980788
Seara,0.44521981406217176,0.8076682604484271,0.07655374643186631,0.6818604314288816
Lages,0.13157368140548392,0.12785561169264292,0.5319691619547237,0.49366072145540185
Anitápolis,0.040302109947028215,0.16893263167499944,0.6380462011957403,0.31510363225938814
Taió,0.0749566477850146,0.12492479973173064,0.17657837516922964,0.613363209300004
Lauro Müller,0.07557993845273703,0.1118253945255502,0.6239701341738213,0.536073407405236
Tangará,0.1497851681193103,0.2852782853196683,0.39678027030281615,0.6851501830710576
Lebon Régis,0.10011232050438733,0.15254175649054783,0.37236886213701426,0.7258690744920997
Armazém,0.24660062119881165,0.14411382083511468,0.776481730702339,0.2509063547438263
Sombrio,0.3433808127067655,0.033050855284938875,0.5937246994156485,0.3165743210889938
Laurentino,0.0892186105905342,0.12376518164455749,0.24703407801634433,0.5351939257131134
Araquari,0.09336301091914015,0.49784740911155295,0.32969869665834006,0.2359382870361732
Sul Brasil,0.22287759754094624,0.630468607168925,0.3068702174316388,0.8719474656269237
Araranguá,0.5524973942762416,0.040249003996870106,0.7287602276661188,0.4584203474125129
Alfredo Wagner,0.026629504270897792,0.1345532662138924,0.5999234896324207,0.39584884641318036
São Miguel da Boa Vista,0.30236038540619475,0.763779306360012,0.3013333215099621,0.8941104042684178
Jardinópolis,0.26207083431587913,0.652261389847697,0.2766759815318685,0.8624050892673919
São Martinho,0.15106900988337696,0.1624741712197417,0.7659136893243526,0.20233942130104637
Alto Bela Vista,0.5658595311084358,0.636497506657067,0.1702630257882291,0.6361584239688076
Jaraguá do Sul,0.06707810194539085,0.3314227286049093,0.044675958733289424,0.40484867354953724
São Lourenço do Oeste,0.08483335332900324,0.5060335389276426,0.40400135750025085,0.9718859019084752
Águas Frias,0.5027118265423901,0.6857596092192458,0.1747287673220013,0.7919146316437512
São Ludgero,0.1765583177160256,0.13037165659082545,0.6770772883946773,0.4357069567001844
Jaguaruna,0.7108592805879739,0.30864271522886744,0.8877455163056641,0.31096518229701053
Águas Mornas,0.038365013224359465,0.1860042307660587,0.6045271476567604,0.21149837450181988
José Boiteux,0.11644374942253885,0.06751989930219837,0.1800988594361612,0.5876110345636305
Saudades,0.5340066169996793,0.7630763670831343,0.14579880457100558,0.7896199839561215
Joinville,0.08538466081518709,0.47955919420809007,0.026395333510012168,0.3040327773728566
Schroeder,0.06893679575595353,0.4184958840013822,0.0,0.3407893836787741
Angelina,0.03933630924061961,0.17134729598867346,0.5084239128935357,0.3041760722347631
Lacerdópolis,0.28673790641199076,0.41546185121103,0.38425982500934264,0.6854093987276834
Anita Garibaldi,0.371582356475908,0.43102418123429576,0.41998201245224004,0.5720936794582394
Jupiá,0.08035673654119038,0.44738513048310347,0.39441068796850676,1.0
São Miguel do Oeste,0.4094337502085754,0.9122469057618424,0.1766140551305931,0.904268417812436
Joaçaba,0.13274791103592312,0.39981746310975325,0.3868587730824139,0.7096560324551294
Anchieta,0.19999203620733158,0.7282671689157886,0.3628742512986213,0.9311512415349887
São Pedro de Alcântara,0.05306634090469866,0.22297002721742662,0.5756156124165004,0.1626454809299053
Itapoá,0.05788229307584426,0.599688966072875,0.24167124323196174,0.11922840139544405
São José,0.0746793945508155,0.19045252323331432,0.742156372368509,0.08577878103837464
Itapiranga,1.0,0.9848574364746696,0.03337217413799619,0.8696901292838087
Agrolândia,0.0769581621635039,0.09102573781599568,0.31918436083700275,0.5266981325672072
São João do Sul,0.2631671486312619,0.036767055981393786,0.5927733773391894,0.17525138518366484
Abdon Batista,0.30836519790635925,0.452119882275685,0.42127473083729977,0.5977650504635933
Itajaí,0.12528454050427915,0.32743297837318747,0.5780112679357315,0.4141501839018767
São Joaquim,0.06680681365749563,0.13070760122385502,0.8622991076329133,0.42181114596464464
Itapema,0.1085868301622959,0.3426906156717674,0.739645520551985,0.372050071824338
Abelardo Luz,0.07305939437942406,0.5825299169778242,0.4034701976026431,0.9245331418017648
São José do Cerrito,0.19202494810657222,0.2791850917935462,0.38705116628816283,0.5778298185681003
Jaborá,0.15676375368828174,0.45124708415825904,0.34473499007588565,0.7208427389014295
Água Doce,0.07407747357808404,0.27689079668555944,0.49077262227781787,0.7650011792055523
Jacinto Machado,0.12590859634534313,0.026193183234397663,0.5165557494293269,0.3545906012723166
Águas de Chapecó,0.802371072747005,0.76430961720151,0.08388419464118187,0.7389698337779598
São José do Cedro,0.26002438092716473,0.7667159534002811,0.3397090984028463,0.9549764005745943
Ituporanga,0.07985185494857991,0.1395408612287364,0.41866067418887015,0.46909393327356974
Agronômica,0.08624942598637261,0.12084213852811462,0.2945632227580155,0.5176482659552635
