municipio,def_mean,ppt_std,ws_std,dtr_mean,hazard_mean,hazard_max,hazard_index
Três Barras,0.297601384628056,0.13976148593371476,0.27142466134335946,0.8296364009477082,0.3846059832132096,0.8296364009477082,0.6071211920804589
Atalanta,0.08172712943541881,0.10510001690456112,0.34681959771554716,0.5145085163143851,0.26203881509247806,0.5145085163143851,0.3882736657034316
Mafra,0.2102033151516229,0.13404793934363549,0.28399552479562495,0.7885036688648427,0.3541876120389315,0.7885036688648427,0.5713456404518871
Timbó Grande,0.10411592334487565,0.10803871425553457,0.23166883414890369,0.7868356248717421,0.307664774155264,0.7868356248717421,0.5472501995135031
Aurora,0.08085007798311263,0.14086889960471422,0.3124207279177013,0.4944387441001432,0.25714461240141784,0.4944387441001432,0.3757916782507805
Siderópolis,0.12663686228341883,0.09726589100472655,0.5691732034483137,0.5418779865732464,0.3337384858274264,0.5691732034483137,0.45145584463787003
Laguna,0.41861297840184586,0.38339732319888303,0.9510995857170443,0.07463250780347123,0.45693559878031115,0.9510995857170443,0.7040175922486778
Antônio Carlos,0.05921052003486564,0.2165018257980571,0.5629788459131365,0.19564634011586576,0.25858438296548125,0.5629788459131365,0.4107816144393089
Serra Alta,0.20972182575635342,0.6732081837613159,0.283460071051413,0.8676380053355224,0.5085070214761511,0.8676380053355224,0.6880725134058367
Lajeado Grande,0.2405556658764929,0.7816172287364865,0.1839661017404667,0.8316232300430947,0.5094405565991352,0.8316232300430947,0.670531893321115
Arabutã,0.3684133229080047,0.6804540850767967,0.16989003837984376,0.7167189469672537,0.48386909833297476,0.7167189469672537,0.6002940226501142
Apiúna,0.10544546798937227,0.1981361415596451,0.2917109802360823,0.4490994332980788,0.26109800577079456,0.4490994332980788,0.35509871953443667
Seara,0.44521981406217176,0.8076682604484271,0.07655374643186631,0.6818604314288816,0.5028255630928367,0.8076682604484271,0.6552469117706319
Lages,0.13157368140548392,0.12785561169264292,0.5319691619547237,0.49366072145540185,0.3212647941270631,0.5319691619547237,0.4266169780408934
Anitápolis,0.040302109947028215,0.16893263167499944,0.6380462011957403,0.31510363225938814,0.290596143769289,0.6380462011957403,0.46432117248251464
Taió,0.0749566477850146,0.12492479973173064,0.17657837516922964,0.613363209300004,0.24745575799649472,0.613363209300004,0.4304094836482494
Lauro Müller,0.07557993845273703,0.1118253945255502,0.6239701341738213,0.536073407405236,0.33686221863933613,0.6239701341738213,0.48041617640657874
Tangará,0.1497851681193103,0.2852782853196683,0.39678027030281615,0.6851501830710576,0.3792484767032131,0.6851501830710576,0.5321993298871354
Lebon Régis,0.10011232050438733,0.15254175649054783,0.37236886213701426,0.7258690744920997,0.33772300340601225,0.7258690744920997,0.5317960389490559
Armazém,0.24660062119881165,0.14411382083511468,0.776481730702339,0.2509063547438263,0.35452563187002295,0.776481730702339,0.5655036812861809
Sombrio,0.3433808127067655,0.033050855284938875,0.5937246994156485,0.3165743210889938,0.3216826721240867,0.5937246994156485,0.45770368576986764
Laurentino,0.0892186105905342,0.12376518164455749,0.24703407801634433,0.5351939257131134,0.24880294899113736,0.5351939257131134,0.39199843735212536
Araquari,0.09336301091914015,0.49784740911155295,0.32969869665834006,0.2359382870361732,0.2892118509313016,0.49784740911155295,0.39352963002142727
Sul Brasil,0.22287759754094624,0.630468607168925,0.3068702174316388,0.8719474656269237,0.5080409719421084,0.8719474656269237,0.6899942187845161
Araranguá,0.5524973942762416,0.040249003996870106,0.7287602276661188,0.4584203474125129,0.44498174333793583,0.7287602276661188,0.5868709855020273
Alfredo Wagner,0.026629504270897792,0.1345532662138924,0.5999234896324207,0.39584884641318036,0.28923877663259784,0.5999234896324207,0.44458113313250924
São Miguel da Boa Vista,0.30236038540619475,0.763779306360012,0.3013333215099621,0.8941104042684178,0.5653958543861466,0.8941104042684178,0.7297531293272822
